Имя,Ссылка,Изображение,Дата публикации,Время публикации,Описание
"12 сентября на «Отдыхе»-2018 чиновники и эксперты расскажут, сохранится ли китайский тренд в новом туристическом сезоне",https://visit-russia.ru/ru/novosti/1203-12-2018.html,https://visit-russia.ru/images/arc_20/12_sentyabrya_na_otdihe-2018_chinovniki_i_eksperti_rasskazhut-_sohranitsya_li_kitajskij_trend_v_novom_turistich.jpg,10.09.2018,10:00,"Исчерпан ли ресурс Москвы и Санкт-Петербурга по приему китайского туристического потока? Какие неожиданности туриндустрии преподнес прошедшим летом «большой футбол»? Сохранится и тренд на увеличение турпотока из Китая в межсезонье, и все-таки какой экономический эффект от китайского туриста получает отрасль и государство? На эти и другие вопросы ответят представители федеральных и региональных......"
Russian Tourism Road Show Visit Russia проходит в Пекине,https://visit-russia.ru/ru/novosti/1210-russian-tourism-road-show-visit-russia.html,https://visit-russia.ru/images/arc_20/russian_tourism_road_show_visit_russia_prohodit_v_pekine.jpg,07.09.2018,10:00,"Russian Tourism Road Show Visit Russia, которое стартовало 5 сентября в Пекине, в этом году впервые проходит в формате бизнес-встреч и переговоров. За пять дней работы представители российских компаний проведут бизнес-встречи с китайскими туроператорами и авиаперевозчиками, посетят визовые центры и офисы ведущих туристических компаний, встретятся для обсуждения актуальных вопросов по двухсторон......"
Журналисты из Японии посетили Капову пещеру и попробовали настоящий башкирский мед,https://visit-russia.ru/ru/novosti/1217-.html,https://visit-russia.ru/images/arc_21/zhurnalisti_iz_yaponii_posetili_kapovu_pesheru_i_poprobovali_nastoyashij_bashkirskij_med.jpg,07.09.2018,10:00,"С 31 августа по 5 сентября Башкирию посетила группа японских журналистов и фотокорреспондентов из популярных изданий, в рамках которого представители СМИ Страны восходящего солнца познакомились с природными памятниками республики, санаторно-курортной базой, объектами инфраструктуры, национальной кухней и традициями региона.
Пресс-тур был организован Государственным Комитетом Республики......"
Более 300 туристов из Китая посетили Северный полюс на ледоколе «50 лет Победы»,https://visit-russia.ru/ru/novosti/1219-300-50.html,https://visit-russia.ru/images/arc_21/bolee_300_turistov_iz_kitaya_posetili_severnij_polyus_na_ledokole_50_let_pobedi.jpg,04.09.2018,10:00,"Фото:Николай Гернет
В летнем сезоне 2018 года национальный парк «Русская Арктика» посетило 1079 человек, из которых 326 гостей – китайские туристы. В этом году в путешествие по русской Арктике отправилось на 117 жителей КНР больше, чем в прошлом сезоне. Об этом ассоциации «Мир без границ» рассказала пресс-секретарь национального парка Юлия Петрова.
«Больше всего китайс......"
Второй Фестиваль китайской живописи Гунби открывается в Москве,https://visit-russia.ru/ru/novosti/1230-.html,https://visit-russia.ru/images/arc_21/vtoroj_festival_kitajskoj_zhivopisi_gunbi_otkrivaetsya_v_moskve.jpg,04.09.2018,10:00,"С 11 сентября по 4 октября в Москве в ЦДХ на Крымском валу пройдет второй Фестиваль китайской живописи в стиле Гунби с участием современных китайских и российских художников, представляющих этот стиль. В программу фестиваля включены мастер-классы по живописи и экспозиция работ более 40 современных художников из Китая и России. Ассоциация «Мир без границ» выступает партнером фестиваля.
И......"
Пять аэропортов Дальнего Востока начали принимать путешественников с электронными визами,https://visit-russia.ru/ru/novosti/1209-.html,https://visit-russia.ru/images/arc_21/pyat_aeroportov_dalnego_vostoka_nachali_prinimat_puteshestvennikov_s_elektronnimi_vizami.jpg,03.09.2018,10:00,"С 1 сентября в дальневосточных международных аэропортах заработали воздушные пункты пропуска, через которые иностранные граждане смогут прибывать в Россию по электронным визам. Соответствующий закон вступил в силу 19 августа 2018 г., сообщает деловой авиационный портал ATO.ru.
Помимо аэропорта Владивостока (Кневичи), в котором уже режим электронной визы действует уже год, упрощенный по......"
Из «Пулково» откроются новые прямые рейсы в Китай,https://visit-russia.ru/ru/novosti/1213-.html,https://visit-russia.ru/images/arc_21/iz_pulkovo_otkroyutsya_novie_pryamie_rejsi_v_kitaj.jpg,30.08.2018,10:00,"Авиакомпания «ИрАэро» с октября 2018 года планирует открыть прямые регулярные рейсы из аэропорта «Пулково» в Китай. Рейсы будут осуществляться на комфортабельных лайнерах двухклассной компоновки Boeing 777-200 в Ханчжоу и на остров Хайнань в города Санья и Хайкоу, сообщает пресс-служба аэропорта «Пулково».
«Направление в Китай будет расти - есть обоюдный интерес как со стороны нашего ту......"
Росту экскурсионки в Китай мешает недостаток перевозки и высокая стоимость билетов,https://visit-russia.ru/ru/novosti/1241-.html,https://visit-russia.ru/images/,29.08.2018,10:00,"Экскурсионные туры в Китай продаются без заметных изменений по сравнению с показателями 2017 года. По словам туроператоров, росту объемов в целом не способствует высокий курс доллара, но не только, сообщает RATA-news.
Руководитель отдела маркетинга компании Chiha Travel Евгений Глотов считает, что сказывается также хроническая нехватка авиаперевозки: «В Китай поставлено не так уж много......"
В Суздальском кремле пройдет вторая ежегодная конференция «Музей и туризм»,https://visit-russia.ru/ru/novosti/1242-.html,https://visit-russia.ru/images/arc_22/v_suzdalskom_kremle_projdet_vtoraya_ezhegodnaya_konferenciya_muzej_i_turizm.jpg,29.08.2018,10:00,"18 сентября 2018 года с 11-00 до 16-00 в Суздальском кремле (г. Суздаль, Владимирская область) пройдет вторая ежегодная конференция «Музей и туризм», организованная Государственным Владимиро-Суздальским музеем-заповедником при поддержке туристической ассоциации «Мир без границ».
Первая к......"
В Москве подготовили новых специалистов для работы с китайскими туристами,https://visit-russia.ru/ru/novosti/1244-.html,https://visit-russia.ru/images/,18.01.2018,10:00,"В Государственном университете управления (ГУУ) закончилось обучение специалистов по программе повышения квалификации гидов-переводчиков и экскурсоводов, работающих с китайскими туристами, реализованное по заказу Федерального агентства по туризму. Об этом Туристической ассоциации «Мир без границ» сообщили в Ассоциации гидов-переводчиков, экскурсоводов и турменеджеров г.Москвы.
«Программ......"
